Jobs,Hourly,Annually
Software Engineer,55,150000
ML Engineer,43,150000
Cloud Engineer,51,147500
Data Engineer,56,130000
Data Scientist,42,124250
Business Analyst,42,90000
Data Analyst,26,115750
